title_supplier,artist,title_norm,author_norm,title_ref,author,author_norm_supplier,author_norm_ref,provider,file
Carolina,Rodrigo Lampreia,carolina,,CAROLINA,,rodrigo lampreia,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Felicidade,Rodrigo Lampreia,felicidade,,FELICIDADE,,rodrigo lampreia,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Temporal,Marina Sena,temporal,,TEMPORAL,T-307.003.180-6,marina sena,t-307.003.180-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Welcome,Yoùn,welcome,,WELCOME,,youn,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Visceral,Fran,visceral,,VISCERAL,,fran,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Penumbra,Djonga,penumbra,,PENUMBRA,T-040.011.904-1,djonga,t-040.011.904-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Me Chama,"Leo Gandelman,Lobão",me chama,,ME CHAMA,T-311.953.645-3,"leo gandelman,lobao",t-311.953.645-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Carolina,Rodrigo Lampreia,carolina,,CAROLINA,,rodrigo lampreia,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Felicidade,Rodrigo Lampreia,felicidade,,FELICIDADE,,rodrigo lampreia,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Tentação,Drik Barbosa,tentacao,,TENTAÇÃO,T-322.163.164-3,drik barbosa,t-322.163.164-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Te Amo,Morenna,te amo,,TE AMO,,morenna,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Tentação,Drik Barbosa,tentacao,,TENTAÇÃO,T-322.163.164-3,drik barbosa,t-322.163.164-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Te Amo,Morenna,te amo,,TE AMO,,morenna,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Oi,Sd9,oi,,OI,,sd9,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Miragem,Karinah,miragem,,MIRAGEM,T-305.619.017-7,karinah,t-305.619.017-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Miragem,Karinah,miragem,,MIRAGEM,,karinah,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Oi,Sd9,oi,,OI,,sd9,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Miragem,Karinah,miragem,,MIRAGEM,T-305.619.017-7,karinah,t-305.619.017-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Miragem,Karinah,miragem,,MIRAGEM,,karinah,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Se Joga,Lary,se joga,,SE JOGA,T-931.480.187-1,lary,t-931.480.187-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Se Joga,Lary,se joga,,SE JOGA,T-931.480.187-1,lary,t-931.480.187-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Fica,Lukinhas,fica,,FICA,,lukinhas,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sinais,Lukinhas,sinais,,SINAIS,T-039.662.232-4,lukinhas,t-039.662.232-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Talvez,Lukinhas,talvez,,TALVEZ,T-039.758.808-7,lukinhas,t-039.758.808-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Talvez,Lukinhas,talvez,,TALVEZ,T-040.081.810-1,lukinhas,t-040.081.810-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Utopia,Lukinhas,utopia,,UTOPIA,T-040.522.248-1,lukinhas,t-040.522.248-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Utopia,Lukinhas,utopia,,UTOPIA,T-329.283.611-0,lukinhas,t-329.283.611-0,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Miragem,Karinah,miragem,,MIRAGEM,T-305.619.017-7,karinah,t-305.619.017-7,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Miragem,Karinah,miragem,,MIRAGEM,,karinah,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Se Joga,Lary,se joga,,SE JOGA,T-931.480.187-1,lary,t-931.480.187-1,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Fica,Lukinhas,fica,,FICA,,lukinhas,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Sinais,Lukinhas,sinais,,SINAIS,T-039.662.232-4,lukinhas,t-039.662.232-4,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
